,State,Year,SNAP Individuals,SNAP Households,Total SNAP Issuance,cpi_mult,Population,Pct Participation,Location,Unemployment Rate,Gini
136,DC,2009,101284.0,55228.0,17849270.005128205,1.5025641025641026,592228.0,0.17102197126782254,,,
137,DC,2010,114818.0,63666.0,23209155.496561214,1.4777624942686842,605282.0,0.1896933991098364,,,
138,DC,2011,132107.0,74672.0,26122062.461983103,1.4330813694975544,620290.0,0.2129761885569653,,,
139,DC,2012,140515.0,79382.0,26965466.73301394,1.4037456445993033,635737.0,0.22102693409381552,,,
140,DC,2013,145327.0,82243.0,27117385.531759657,1.3832618025751073,651559.0,0.22304503506205883,,,
141,DC,2014,141969.0,79975.0,24829907.578369245,1.3616392057456697,663603.0,0.2139366458560314,,,
142,DC,2015,142476.0,80423.0,25492341.618565403,1.359915611814346,677014.0,0.2104476421462481,,,
143,DC,2016,135796.0,76472.0,23497618.572083335,1.3429166666666668,687576.0,0.1974996218599835,,,
144,DC,2017,127628.0,74101.0,23005171.742146064,1.3149734802121584,697079.0,0.18308972153801792,,,
145,DC,2018,113808.0,69868.0,20245698.714058146,1.283552369573875,704147.0,0.1616253424355994,,,
146,DC,2019,109580.0,65819.0,34113821.44192413,1.2604614782948769,708253.0,0.15471872339404139,,,
147,DC,2020,108307.0,66439.0,17307434.032843895,1.2453632148377125,670917.0,0.1614312947801293,,,
148,DC,2021,142325.0,85979.0,37242624.86309963,1.1892988929889299,669256.0,0.21266152264604277,,,
149,DC,2022,147178.0,90324.0,26557049.818585582,1.101127434233003,676725.0,0.2174856847316118,,,
150,DC,2023,138316.0,84633.0,27969132.649819497,1.0577617328519857,687324.0,0.20123842612799786,,,
151,DC,2024,135009.0,82550.0,27058384.67963022,1.027414727446605,702250.0,0.19225204699181203,,,
152,DE,2006,65775.0,28251.0,9194637.069444446,1.5987103174603177,859268.0,0.0765477127043018,Delaware,0.035,0.43
153,DE,2007,66496.0,28799.0,9572297.561987458,1.5547515677761699,871749.0,0.07627883714234258,Delaware,0.035,0.44
154,DE,2008,74322.0,32441.0,10741709.607988853,1.496980956804459,883874.0,0.08408664583413474,Delaware,0.049,0.45
155,DE,2009,87573.0,38601.0,14381574.435897436,1.5025641025641026,891730.0,0.09820573491976271,Delaware,0.079,0.43
156,DE,2010,109215.0,48820.0,20356985.216872998,1.4777624942686842,899647.0,0.12139761484226591,Delaware,0.08,0.44
157,DE,2011,132433.0,60353.0,23997542.26100489,1.4330813694975544,907590.0,0.14591720931257507,Delaware,0.074,0.44
158,DE,2012,148854.0,69730.0,26361522.014372826,1.4037456445993033,915518.0,0.16258992177106293,Delaware,0.071,0.44
159,DE,2013,155334.0,73231.0,27500990.311587982,1.3832618025751073,924062.0,0.16809911023286317,Delaware,0.067,0.45
160,DE,2014,150018.0,71102.0,24847000.23531897,1.3616392057456697,933131.0,0.1607684237261435,Delaware,0.057,0.45
161,DE,2015,153612.0,73393.0,26766981.002109706,1.359915611814346,942065.0,0.16305881229002245,Delaware,0.049,0.4523
162,DE,2016,146504.0,70333.0,24666571.127916668,1.3429166666666668,949989.0,0.15421652250710272,Delaware,0.044,0.4522
163,DE,2017,149625.0,72705.0,23295428.468380254,1.3149734802121584,957942.0,0.1561942163513031,Delaware,0.046,0.4811
164,DE,2018,143853.0,70231.0,21571966.42293907,1.283552369573875,966985.0,0.14876445860070217,Delaware,0.038,0.4587
165,DE,2019,138561.0,67687.0,37466485.11419632,1.2604614782948769,976668.0,0.14187113737728685,Delaware,0.038,0.4509
166,DE,2020,119235.0,58666.0,17241719.952086553,1.2453632148377125,991928.0,0.12020529715866474,Delaware,0.078,
167,DE,2021,118049.0,58556.0,29253123.027306274,1.1892988929889299,1005062.0,0.11745444559639107,Delaware,0.053,0.4547
168,DE,2022,119414.0,58768.0,18882562.681926887,1.101127434233003,1020625.0,0.11700085731781996,Delaware,0.045,0.4407
169,DE,2023,124660.0,61546.0,21332706.97833935,1.0577617328519857,1036423.0,0.12027907524244445,Delaware,0.04,0.4557
170,DE,2024,119009.0,59256.0,22017192.467006695,1.027414727446605,1051917.0,0.11313535193366017,Delaware,0.037,0.4478
171,FL,2006,1274384.0,628241.0,186598756.84126985,1.5987103174603177,18166990.0,0.07014832947009934,Florida,0.033,0.47
172,FL,2007,1216090.0,614845.0,176854753.92281717,1.5547515677761699,18367842.0,0.06620755993001247,Florida,0.04,0.47
173,FL,2008,1395527.0,714471.0,210538626.26196006,1.496980956804459,18527305.0,0.07532271962921752,Florida,0.063,0.47
174,FL,2009,1802316.0,922220.0,311525610.16923076,1.5025641025641026,18652644.0,0.09662522910961041,Florida,0.104,0.47
175,FL,2010,2497511.0,1305942.0,528029000.6047685,1.4777624942686842,18846143.0,0.13252106810396164,Florida,0.113,0.47
176,FL,2011,3045847.0,1639050.0,607224762.100489,1.4330813694975544,19055607.0,0.1598399358257126,Florida,0.103,0.48
177,FL,2012,3293516.0,1793619.0,643368430.7774391,1.4037456445993033,19302016.0,0.1706306740187139,Florida,0.086,0.48
178,FL,2013,3573410.0,1954717.0,680898615.6051502,1.3832618025751073,19551678.0,0.1827674330561295,Florida,0.073,0.48
179,FL,2014,3493264.0,1894943.0,616665343.9784538,1.3616392057456697,19853880.0,0.1759486810638525,Florida,0.063,0.48
180,FL,2015,3668493.0,2013299.0,646317626.4544305,1.359915611814346,20219111.0,0.18143690887299643,Florida,0.054,0.4872
181,FL,2016,3664055.0,2034555.0,631351702.7216667,1.3429166666666668,20627237.0,0.17763188545319958,Florida,0.049,0.4852
182,FL,2017,3232682.0,1716631.0,517689579.2917177,1.3149734802121584,20977089.0,0.1541053670506904,Florida,0.042,0.4859
183,FL,2018,3205088.0,1718439.0,495618742.6272402,1.283552369573875,21254926.0,0.15079271506285177,Florida,0.036,0.4887
184,FL,2019,2888646.0,1559698.0,767449680.5436058,1.2604614782948769,21492056.0,0.13440528909844643,Florida,0.031,0.4808
185,FL,2020,2683906.0,1469913.0,394533715.3481453,1.2453632148377125,21592035.0,0.12430074330650168,Florida,0.077,
186,FL,2021,3465806.0,1970536.0,617930145.9623616,1.1892988929889299,21831949.0,0.15874927153778162,Florida,0.046,0.4869
187,FL,2022,2791040.0,1555494.0,456818205.65117866,1.101127434233003,22379312.0,0.12471518338007889,Florida,0.029,0.4902
188,FL,2023,3199055.0,1785033.0,627552761.7942239,1.0577617328519857,22904868.0,0.13966703497265298,Florida,0.029,0.4829
189,FL,2024,2902332.0,1617734.0,552488682.9795983,1.027414727446605,23372215.0,0.12417873102741867,Florida,0.034,0.4799
190,GA,2006,948465.0,386637.0,140429027.64632937,1.5987103174603177,9155813.0,0.10359156527115615,Georgia,0.047,0.46
191,GA,2007,956599.0,389868.0,142690210.75156778,1.5547515677761699,9349988.0,0.10231018478312486,Georgia,0.046,0.46
192,GA,2008,986245.0,402330.0,149732324.15002322,1.496980956804459,9504843.0,0.10376236619584353,Georgia,0.063,0.47
193,GA,2009,1212668.0,500954.0,204261483.58461538,1.5025641025641026,9620846.0,0.12604587995691854,Georgia,0.098,0.47
194,GA,2010,1548158.0,658911.0,300606316.54103625,1.4777624942686842,9712209.0,0.15940328302243084,Georgia,0.102,0.47
195,GA,2011,1742615.0,767434.0,330595599.30413514,1.4330813694975544,9803630.0,0.1777520163449661,Georgia,0.099,0.48
